"행정구역","2026년01월_거주자_총인구수","2026년01월_거주자_연령구간인구수","2026년01월_거주자_0~9세","2026년01월_거주자_10~19세","2026년01월_거주자_20~29세","2026년01월_거주자_30~39세","2026년01월_거주자_40~49세","2026년01월_거주자_50~59세","2026년01월_거주자_60~69세","2026년01월_거주자_70~79세","2026년01월_거주자_80~89세","2026년01월_거주자_90~99세","2026년01월_거주자_100세 이상","2026년01월_남_거주자_총인구수","2026년01월_남_거주자_연령구간인구수","2026년01월_남_거주자_0~9세","2026년01월_남_거주자_10~19세","2026년01월_남_거주자_20~29세","2026년01월_남_거주자_30~39세","2026년01월_남_거주자_40~49세","2026년01월_남_거주자_50~59세","2026년01월_남_거주자_60~69세","2026년01월_남_거주자_70~79세","2026년01월_남_거주자_80~89세","2026년01월_남_거주자_90~99세","2026년01월_남_거주자_100세 이상","2026년01월_여_거주자_총인구수","2026년01월_여_거주자_연령구간인구수","2026년01월_여_거주자_0~9세","2026년01월_여_거주자_10~19세","2026년01월_여_거주자_20~29세","2026년01월_여_거주자_30~39세","2026년01월_여_거주자_40~49세","2026년01월_여_거주자_50~59세","2026년01월_여_거주자_60~69세","2026년01월_여_거주자_70~79세","2026년01월_여_거주자_80~89세","2026년01월_여_거주자_90~99세","2026년01월_여_거주자_100세 이상","2026년02월_거주자_총인구수","2026년02월_거주자_연령구간인구수","2026년02월_거주자_0~9세","2026년02월_거주자_10~19세","2026년02월_거주자_20~29세","2026년02월_거주자_30~39세","2026년02월_거주자_40~49세","2026년02월_거주자_50~59세","2026년02월_거주자_60~69세","2026년02월_거주자_70~79세","2026년02월_거주자_80~89세","2026년02월_거주자_90~99세","2026년02월_거주자_100세 이상","2026년02월_남_거주자_총인구수","2026년02월_남_거주자_연령구간인구수","2026년02월_남_거주자_0~9세","2026년02월_남_거주자_10~19세","2026년02월_남_거주자_20~29세","2026년02월_남_거주자_30~39세","2026년02월_남_거주자_40~49세","2026년02월_남_거주자_50~59세","2026년02월_남_거주자_60~69세","2026년02월_남_거주자_70~79세","2026년02월_남_거주자_80~89세","2026년02월_남_거주자_90~99세","2026년02월_남_거주자_100세 이상","2026년02월_여_거주자_총인구수","2026년02월_여_거주자_연령구간인구수","2026년02월_여_거주자_0~9세","2026년02월_여_거주자_10~19세","2026년02월_여_거주자_20~29세","2026년02월_여_거주자_30~39세","2026년02월_여_거주자_40~49세","2026년02월_여_거주자_50~59세","2026년02월_여_거주자_60~69세","2026년02월_여_거주자_70~79세","2026년02월_여_거주자_80~89세","2026년02월_여_거주자_90~99세","2026년02월_여_거주자_100세 이상","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상","2026년05월_거주자_총인구수","2026년05월_거주자_연령구간인구수","2026년05월_거주자_0~9세","2026년05월_거주자_10~19세","2026년05월_거주자_20~29세","2026년05월_거주자_30~39세","2026년05월_거주자_40~49세","2026년05월_거주자_50~59세","2026년05월_거주자_60~69세","2026년05월_거주자_70~79세","2026년05월_거주자_80~89세","2026년05월_거주자_90~99세","2026년05월_거주자_100세 이상","2026년05월_남_거주자_총인구수","2026년05월_남_거주자_연령구간인구수","2026년05월_남_거주자_0~9세","2026년05월_남_거주자_10~19세","2026년05월_남_거주자_20~29세","2026년05월_남_거주자_30~39세","2026년05월_남_거주자_40~49세","2026년05월_남_거주자_50~59세","2026년05월_남_거주자_60~69세","2026년05월_남_거주자_70~79세","2026년05월_남_거주자_80~89세","2026년05월_남_거주자_90~99세","2026년05월_남_거주자_100세 이상","2026년05월_여_거주자_총인구수","2026년05월_여_거주자_연령구간인구수","2026년05월_여_거주자_0~9세","2026년05월_여_거주자_10~19세","2026년05월_여_거주자_20~29세","2026년05월_여_거주자_30~39세","2026년05월_여_거주자_40~49세","2026년05월_여_거주자_50~59세","2026년05월_여_거주자_60~69세","2026년05월_여_거주자_70~79세","2026년05월_여_거주자_80~89세","2026년05월_여_거주자_90~99세","2026년05월_여_거주자_100세 이상","2026년06월_거주자_총인구수","2026년06월_거주자_연령구간인구수","2026년06월_거주자_0~9세","2026년06월_거주자_10~19세","2026년06월_거주자_20~29세","2026년06월_거주자_30~39세","2026년06월_거주자_40~49세","2026년06월_거주자_50~59세","2026년06월_거주자_60~69세","2026년06월_거주자_70~79세","2026년06월_거주자_80~89세","2026년06월_거주자_90~99세","2026년06월_거주자_100세 이상","2026년06월_남_거주자_총인구수","2026년06월_남_거주자_연령구간인구수","2026년06월_남_거주자_0~9세","2026년06월_남_거주자_10~19세","2026년06월_남_거주자_20~29세","2026년06월_남_거주자_30~39세","2026년06월_남_거주자_40~49세","2026년06월_남_거주자_50~59세","2026년06월_남_거주자_60~69세","2026년06월_남_거주자_70~79세","2026년06월_남_거주자_80~89세","2026년06월_남_거주자_90~99세","2026년06월_남_거주자_100세 이상","2026년06월_여_거주자_총인구수","2026년06월_여_거주자_연령구간인구수","2026년06월_여_거주자_0~9세","2026년06월_여_거주자_10~19세","2026년06월_여_거주자_20~29세","2026년06월_여_거주자_30~39세","2026년06월_여_거주자_40~49세","2026년06월_여_거주자_50~59세","2026년06월_여_거주자_60~69세","2026년06월_여_거주자_70~79세","2026년06월_여_거주자_80~89세","2026년06월_여_거주자_90~99세","2026년06월_여_거주자_100세 이상"
"충청북도 청주시 흥덕구 (4311300000)","291,415","291,415","23,104","27,901","36,174","50,115","45,855","46,402","36,584","16,816","7,089","1,346","29","148,671","148,671","11,758","14,368","19,499","27,392","23,836","23,093","17,997","7,868","2,534","322","4","142,744","142,744","11,346","13,533","16,675","22,723","22,019","23,309","18,587","8,948","4,555","1,024","25","290,989","290,989","23,006","27,896","35,985","49,834","45,801","46,339","36,700","16,940","7,091","1,368","29","148,452","148,452","11,719","14,351","19,417","27,229","23,858","23,032","18,039","7,930","2,546","327","4","142,537","142,537","11,287","13,545","16,568","22,605","21,943","23,307","18,661","9,010","4,545","1,041","25","290,957","290,957","22,974","27,825","35,970","49,930","45,636","46,150","36,850","17,096","7,124","1,376","26","148,414","148,414","11,684","14,314","19,412","27,246","23,799","22,949","18,093","8,018","2,562","333","4","142,543","142,543","11,290","13,511","16,558","22,684","21,837","23,201","18,757","9,078","4,562","1,043","22","291,330","291,330","22,955","27,842","35,992","50,057","45,596","46,208","36,921","17,216","7,115","1,399","29","148,608","148,608","11,681","14,293","19,451","27,349","23,768","22,952","18,146","8,064","2,564","336","4","142,722","142,722","11,274","13,549","16,541","22,708","21,828","23,256","18,775","9,152","4,551","1,063","25","291,413","291,413","22,888","27,837","35,931","50,207","45,572","46,144","36,984","17,313","7,094","1,414","29","148,739","148,739","11,646","14,304","19,447","27,453","23,765","22,947","18,165","8,109","2,559","340","4","142,674","142,674","11,242","13,533","16,484","22,754","21,807","23,197","18,819","9,204","4,535","1,074","25","291,745","291,745","22,943","27,768","35,926","50,377","45,654","46,089","37,035","17,400","7,119","1,406","28","148,932","148,932","11,652","14,253","19,462","27,574","23,802","22,937","18,184","8,152","2,576","337","3","142,813","142,813","11,291","13,515","16,464","22,803","21,852","23,152","18,851","9,248","4,543","1,069","25"
"충청북도 청주시 청원구 (4311400000)","186,401","186,401","12,713","19,946","21,917","26,731","30,819","29,117","24,508","12,934","6,514","1,180","22","96,105","96,105","6,612","10,131","12,131","15,182","16,252","15,036","12,193","6,004","2,301","258","5","90,296","90,296","6,101","9,815","9,786","11,549","14,567","14,081","12,315","6,930","4,213","922","17","186,005","186,005","12,574","19,947","21,829","26,584","30,685","29,104","24,551","13,031","6,487","1,193","20","95,907","95,907","6,526","10,113","12,100","15,118","16,182","15,054","12,204","6,052","2,294","259","5","90,098","90,098","6,048","9,834","9,729","11,466","14,503","14,050","12,347","6,979","4,193","934","15","185,896","185,896","12,444","19,993","21,764","26,607","30,590","29,053","24,578","13,160","6,474","1,214","19","95,876","95,876","6,459","10,143","12,055","15,131","16,154","15,037","12,221","6,118","2,290","264","4","90,020","90,020","5,985","9,850","9,709","11,476","14,436","14,016","12,357","7,042","4,184","950","15","185,936","185,936","12,402","20,007","21,770","26,645","30,519","29,056","24,581","13,230","6,480","1,228","18","95,878","95,878","6,440","10,150","12,058","15,154","16,115","15,029","12,220","6,148","2,294","267","3","90,058","90,058","5,962","9,857","9,712","11,491","14,404","14,027","12,361","7,082","4,186","961","15","185,879","185,879","12,336","19,991","21,795","26,626","30,442","29,029","24,603","13,282","6,503","1,253","19","95,832","95,832","6,408","10,147","12,035","15,150","16,077","15,016","12,242","6,159","2,320","275","3","90,047","90,047","5,928","9,844","9,760","11,476","14,365","14,013","12,361","7,123","4,183","978","16","185,661","185,661","12,261","19,991","21,709","26,571","30,436","28,983","24,604","13,327","6,504","1,256","19","95,749","95,749","6,377","10,155","12,019","15,102","16,063","14,999","12,253","6,185","2,321","272","3","89,912","89,912","5,884","9,836","9,690","11,469","14,373","13,984","12,351","7,142","4,183","984","16"
"충청북도 충주시 (4313000000)","205,660","205,660","10,770","17,328","19,829","22,463","27,122","35,794","37,753","21,067","11,363","2,124","47","104,264","104,264","5,575","8,914","11,264","12,728","14,029","18,161","19,094","9,840","4,167","480","12","101,396","101,396","5,195","8,414","8,565","9,735","13,093","17,633","18,659","11,227","7,196","1,644","35","205,570","205,570","10,735","17,295","19,680","22,444","27,062","35,781","37,826","21,224","11,333","2,141","49","104,172","104,172","5,546","8,899","11,128","12,717","14,016","18,147","19,150","9,908","4,161","488","12","101,398","101,398","5,189","8,396","8,552","9,727","13,046","17,634","18,676","11,316","7,172","1,653","37","205,478","205,478","10,629","17,250","19,709","22,442","26,912","35,655","37,909","21,422","11,324","2,179","47","104,168","104,168","5,505","8,890","11,145","12,739","13,947","18,076","19,182","10,021","4,155","497","11","101,310","101,310","5,124","8,360","8,564","9,703","12,965","17,579","18,727","11,401","7,169","1,682","36","205,461","205,461","10,607","17,201","19,718","22,457","26,788","35,611","37,949","21,555","11,331","2,194","50","104,221","104,221","5,500","8,871","11,167","12,752","13,894","18,062","19,208","10,099","4,162","493","13","101,240","101,240","5,107","8,330","8,551","9,705","12,894","17,549","18,741","11,456","7,169","1,701","37","205,556","205,556","10,533","17,238","19,759","22,433","26,768","35,564","37,951","21,708","11,338","2,213","51","104,270","104,270","5,475","8,887","11,199","12,707","13,883","18,038","19,222","10,176","4,164","506","13","101,286","101,286","5,058","8,351","8,560","9,726","12,885","17,526","18,729","11,532","7,174","1,707","38","205,353","205,353","10,472","17,240","19,682","22,402","26,776","35,452","37,967","21,760","11,343","2,208","51","104,187","104,187","5,441","8,880","11,164","12,709","13,895","17,976","19,237","10,193","4,168","511","13","101,166","101,166","5,031","8,360","8,518","9,693","12,881","17,476","18,730","11,567","7,175","1,697","38"
"충청북도 제천시 (4315000000)","127,502","127,502","6,030","10,679","12,618","11,297","15,060","22,331","25,287","15,228","7,719","1,218","35","64,295","64,295","3,193","5,443","7,009","6,283","7,808","11,442","12,664","7,296","2,882","272","3","63,207","63,207","2,837","5,236","5,609","5,014","7,252","10,889","12,623","7,932","4,837","946","32","127,340","127,340","5,996","10,621","12,512","11,303","14,999","22,243","25,340","15,330","7,729","1,230","37","64,255","64,255","3,174","5,437","6,958","6,279","7,801","11,383","12,693","7,354","2,892","281","3","63,085","63,085","2,822","5,184","5,554","5,024","7,198","10,860","12,647","7,976","4,837","949","34","127,968","127,968","5,939","11,035","12,679","11,325","14,914","22,125","25,410","15,522","7,705","1,277","37","64,582","64,582","3,148","5,632","7,056","6,293","7,745","11,330","12,726","7,468","2,879","302","3","63,386","63,386","2,791","5,403","5,623","5,032","7,169","10,795","12,684","8,054","4,826","975","34","128,081","128,081","5,906","11,068","12,675","11,338","14,870","22,107","25,453","15,627","7,703","1,297","37","64,638","64,638","3,117","5,653","7,051","6,287","7,738","11,331","12,747","7,515","2,889","307","3","63,443","63,443","2,789","5,415","5,624","5,051","7,132","10,776","12,706","8,112","4,814","990","34","128,008","128,008","5,875","11,022","12,674","11,342","14,828","22,062","25,413","15,729","7,720","1,305","38","64,604","64,604","3,088","5,640","7,043","6,294","7,712","11,305","12,750","7,564","2,898","307","3","63,404","63,404","2,787","5,382","5,631","5,048","7,116","10,757","12,663","8,165","4,822","998","35","127,896","127,896","5,833","10,954","12,628","11,350","14,838","22,032","25,403","15,799","7,718","1,305","36","64,552","64,552","3,055","5,608","7,028","6,308","7,711","11,291","12,748","7,596","2,897","307","3","63,344","63,344","2,778","5,346","5,600","5,042","7,127","10,741","12,655","8,203","4,821","998","33"
"충청북도 보은군 (4372000000)","30,538","30,538","974","1,759","1,798","1,796","2,650","4,838","7,775","5,131","3,071","737","9","15,547","15,547","512","930","1,060","1,004","1,456","2,664","4,168","2,523","1,061","167","2","14,991","14,991","462","829","738","792","1,194","2,174","3,607","2,608","2,010","570","7","30,538","30,538","959","1,750","1,797","1,796","2,651","4,804","7,801","5,165","3,063","742","10","15,549","15,549","503","918","1,065","1,000","1,457","2,651","4,177","2,545","1,061","170","2","14,989","14,989","456","832","732","796","1,194","2,153","3,624","2,620","2,002","572","8","30,600","30,600","949","1,758","1,795","1,811","2,653","4,782","7,807","5,199","3,080","756","10","15,575","15,575","494","924","1,068","1,009","1,454","2,631","4,183","2,566","1,072","172","2","15,025","15,025","455","834","727","802","1,199","2,151","3,624","2,633","2,008","584","8","30,642","30,642","954","1,757","1,792","1,816","2,650","4,778","7,826","5,222","3,073","763","11","15,593","15,593","497","925","1,056","1,014","1,440","2,629","4,205","2,581","1,072","172","2","15,049","15,049","457","832","736","802","1,210","2,149","3,621","2,641","2,001","591","9","30,653","30,653","947","1,762","1,784","1,812","2,643","4,754","7,841","5,262","3,063","773","12","15,602","15,602","492","926","1,049","1,013","1,440","2,611","4,214","2,607","1,077","170","3","15,051","15,051","455","836","735","799","1,203","2,143","3,627","2,655","1,986","603","9","31,121","31,121","947","1,775","1,831","1,876","2,695","4,842","7,970","5,325","3,072","776","12","15,842","15,842","493","930","1,073","1,052","1,456","2,667","4,276","2,634","1,087","171","3","15,279","15,279","454","845","758","824","1,239","2,175","3,694","2,691","1,985","605","9"
"충청북도 옥천군 (4373000000)","49,885","49,885","1,677","3,523","3,715","3,334","5,243","8,635","11,355","7,521","3,993","872","17","25,285","25,285","887","1,846","2,105","1,816","2,711","4,565","5,972","3,734","1,429","218","2","24,600","24,600","790","1,677","1,610","1,518","2,532","4,070","5,383","3,787","2,564","654","15","50,001","50,001","1,662","3,523","3,741","3,354","5,216","8,648","11,386","7,584","3,988","881","18","25,354","25,354","873","1,855","2,111","1,833","2,698","4,563","6,004","3,766","1,427","221","3","24,647","24,647","789","1,668","1,630","1,521","2,518","4,085","5,382","3,818","2,561","660","15","50,141","50,141","1,663","3,520","3,768","3,380","5,193","8,632","11,439","7,661","3,982","884","19","25,463","25,463","870","1,848","2,137","1,850","2,698","4,558","6,040","3,809","1,428","221","4","24,678","24,678","793","1,672","1,631","1,530","2,495","4,074","5,399","3,852","2,554","663","15","50,274","50,274","1,656","3,524","3,779","3,406","5,210","8,652","11,463","7,686","3,978","902","18","25,544","25,544","864","1,856","2,144","1,859","2,714","4,562","6,058","3,822","1,429","232","4","24,730","24,730","792","1,668","1,635","1,547","2,496","4,090","5,405","3,864","2,549","670","14","50,309","50,309","1,646","3,504","3,774","3,410","5,206","8,660","11,464","7,741","3,974","913","17","25,569","25,569","857","1,843","2,145","1,865","2,705","4,569","6,069","3,843","1,434","235","4","24,740","24,740","789","1,661","1,629","1,545","2,501","4,091","5,395","3,898","2,540","678","13","50,435","50,435","1,657","3,492","3,800","3,447","5,218","8,674","11,464","7,782","3,974","909","18","25,631","25,631","856","1,839","2,163","1,878","2,713","4,579","6,073","3,860","1,433","232","5","24,804","24,804","801","1,653","1,637","1,569","2,505","4,095","5,391","3,922","2,541","677","13"
"충청북도 영동군 (4374000000)","43,031","43,031","1,316","2,732","2,939","2,615","3,820","7,348","10,353","7,021","4,135","735","17","21,714","21,714","676","1,429","1,629","1,452","2,040","4,031","5,394","3,398","1,490","174","1","21,317","21,317","640","1,303","1,310","1,163","1,780","3,317","4,959","3,623","2,645","561","16","42,938","42,938","1,298","2,720","2,876","2,611","3,793","7,321","10,379","7,050","4,119","755","16","21,671","21,671","662","1,424","1,597","1,449","2,031","4,021","5,406","3,415","1,487","178","1","21,267","21,267","636","1,296","1,279","1,162","1,762","3,300","4,973","3,635","2,632","577","15","42,873","42,873","1,283","2,721","2,837","2,595","3,756","7,296","10,384","7,108","4,112","763","18","21,654","21,654","656","1,430","1,575","1,446","2,013","4,017","5,398","3,450","1,483","184","2","21,219","21,219","627","1,291","1,262","1,149","1,743","3,279","4,986","3,658","2,629","579","16","42,934","42,934","1,283","2,714","2,818","2,612","3,758","7,287","10,441","7,122","4,113","768","18","21,693","21,693","655","1,420","1,574","1,453","2,010","4,022","5,428","3,459","1,488","182","2","21,241","21,241","628","1,294","1,244","1,159","1,748","3,265","5,013","3,663","2,625","586","16","42,930","42,930","1,280","2,680","2,828","2,624","3,737","7,288","10,439","7,141","4,121","775","17","21,682","21,682","651","1,405","1,570","1,464","1,995","4,027","5,426","3,468","1,489","185","2","21,248","21,248","629","1,275","1,258","1,160","1,742","3,261","5,013","3,673","2,632","590","15","42,911","42,911","1,279","2,670","2,819","2,618","3,738","7,272","10,448","7,144","4,128","777","18","21,676","21,676","652","1,400","1,562","1,461","1,999","4,022","5,425","3,471","1,496","186","2","21,235","21,235","627","1,270","1,257","1,157","1,739","3,250","5,023","3,673","2,632","591","16"
"충청북도 증평군 (4374500000)","36,552","36,552","2,219","3,351","3,593","4,489","5,174","6,176","6,103","3,406","1,726","311","4","19,043","19,043","1,147","1,734","2,107","2,528","2,814","3,281","3,120","1,621","624","67","0","17,509","17,509","1,072","1,617","1,486","1,961","2,360","2,895","2,983","1,785","1,102","244","4","36,520","36,520","2,207","3,352","3,548","4,450","5,174","6,200","6,099","3,435","1,730","321","4","19,023","19,023","1,136","1,738","2,079","2,503","2,826","3,302","3,114","1,631","628","66","0","17,497","17,497","1,071","1,614","1,469","1,947","2,348","2,898","2,985","1,804","1,102","255","4","36,484","36,484","2,209","3,337","3,532","4,425","5,172","6,178","6,088","3,477","1,735","326","5","18,995","18,995","1,134","1,725","2,068","2,488","2,824","3,288","3,119","1,650","629","69","1","17,489","17,489","1,075","1,612","1,464","1,937","2,348","2,890","2,969","1,827","1,106","257","4","36,592","36,592","2,218","3,342","3,530","4,469","5,172","6,179","6,109","3,499","1,737","331","6","19,082","19,082","1,133","1,730","2,082","2,522","2,821","3,299","3,132","1,658","635","69","1","17,510","17,510","1,085","1,612","1,448","1,947","2,351","2,880","2,977","1,841","1,102","262","5","36,623","36,623","2,193","3,343","3,501","4,487","5,187","6,166","6,147","3,522","1,742","329","6","19,096","19,096","1,121","1,730","2,072","2,525","2,830","3,295","3,145","1,669","638","70","1","17,527","17,527","1,072","1,613","1,429","1,962","2,357","2,871","3,002","1,853","1,104","259","5","36,641","36,641","2,165","3,372","3,507","4,475","5,189","6,156","6,148","3,560","1,736","327","6","19,101","19,101","1,102","1,747","2,071","2,514","2,834","3,287","3,150","1,695","630","70","1","17,540","17,540","1,063","1,625","1,436","1,961","2,355","2,869","2,998","1,865","1,106","257","5"
"충청북도 진천군 (4375000000)","85,765","85,765","5,701","8,561","7,510","10,649","13,768","14,630","13,496","6,929","3,737","768","16","45,319","45,319","2,986","4,402","4,369","6,040","7,443","8,008","7,243","3,346","1,329","153","0","40,446","40,446","2,715","4,159","3,141","4,609","6,325","6,622","6,253","3,583","2,408","615","16","85,485","85,485","5,647","8,497","7,404","10,569","13,732","14,612","13,528","6,978","3,713","787","18","45,175","45,175","2,955","4,387","4,294","6,008","7,423","8,005","7,254","3,374","1,323","152","0","40,310","40,310","2,692","4,110","3,110","4,561","6,309","6,607","6,274","3,604","2,390","635","18","85,388","85,388","5,610","8,464","7,325","10,580","13,652","14,593","13,581","7,055","3,717","793","18","45,146","45,146","2,927","4,378","4,234","6,044","7,385","7,996","7,275","3,430","1,324","153","0","40,242","40,242","2,683","4,086","3,091","4,536","6,267","6,597","6,306","3,625","2,393","640","18","85,429","85,429","5,593","8,437","7,315","10,610","13,599","14,617","13,646","7,072","3,721","801","18","45,221","45,221","2,913","4,368","4,238","6,072","7,366","8,021","7,315","3,442","1,334","151","1","40,208","40,208","2,680","4,069","3,077","4,538","6,233","6,596","6,331","3,630","2,387","650","17","85,367","85,367","5,560","8,396","7,293","10,618","13,584","14,612","13,660","7,108","3,708","811","17","45,191","45,191","2,896","4,341","4,238","6,071","7,363","8,030","7,309","3,459","1,330","153","1","40,176","40,176","2,664","4,055","3,055","4,547","6,221","6,582","6,351","3,649","2,378","658","16","85,372","85,372","5,562","8,400","7,248","10,632","13,578","14,611","13,658","7,139","3,721","806","17","45,173","45,173","2,901","4,335","4,211","6,081","7,352","8,025","7,300","3,482","1,333","152","1","40,199","40,199","2,661","4,065","3,037","4,551","6,226","6,586","6,358","3,657","2,388","654","16"
"충청북도 괴산군 (4376000000)","38,084","38,084","1,096","1,868","2,314","2,177","3,216","6,408","10,326","6,385","3,632","646","16","19,661","19,661","573","956","1,351","1,221","1,762","3,524","5,567","3,230","1,333","143","1","18,423","18,423","523","912","963","956","1,454","2,884","4,759","3,155","2,299","503","15","37,692","37,692","1,055","1,796","2,245","2,116","3,166","6,305","10,291","6,449","3,590","663","16","19,473","19,473","552","918","1,316","1,185","1,739","3,480","5,540","3,272","1,321","149","1","18,219","18,219","503","878","929","931","1,427","2,825","4,751","3,177","2,269","514","15","37,449","37,449","1,031","1,765","2,153","2,112","3,102","6,230","10,262","6,510","3,587","681","16","19,385","19,385","546","903","1,261","1,188","1,707","3,452","5,541","3,307","1,325","154","1","18,064","18,064","485","862","892","924","1,395","2,778","4,721","3,203","2,262","527","15","37,390","37,390","1,035","1,753","2,109","2,118","3,074","6,188","10,298","6,542","3,568","691","14","19,366","19,366","546","893","1,238","1,191","1,705","3,427","5,564","3,330","1,317","154","1","18,024","18,024","489","860","871","927","1,369","2,761","4,734","3,212","2,251","537","13","37,348","37,348","1,030","1,736","2,103","2,105","3,070","6,163","10,298","6,580","3,565","684","14","19,353","19,353","539","889","1,234","1,178","1,700","3,424","5,554","3,363","1,318","153","1","17,995","17,995","491","847","869","927","1,370","2,739","4,744","3,217","2,247","531","13","37,333","37,333","1,022","1,739","2,087","2,102","3,076","6,144","10,320","6,582","3,558","689","14","19,355","19,355","535","888","1,232","1,175","1,705","3,406","5,563","3,370","1,325","155","1","17,978","17,978","487","851","855","927","1,371","2,738","4,757","3,212","2,233","534","13"
"충청북도 음성군 (4377000000)","94,386","94,386","4,177","7,347","8,119","9,715","12,217","17,599","18,913","10,064","5,197","1,007","31","50,392","50,392","2,148","3,889","4,672","5,692","6,765","9,769","10,252","4,995","1,973","228","9","43,994","43,994","2,029","3,458","3,447","4,023","5,452","7,830","8,661","5,069","3,224","779","22","94,674","94,674","4,195","7,348","8,092","9,768","12,244","17,636","19,024","10,143","5,173","1,020","31","50,550","50,550","2,157","3,903","4,652","5,728","6,768","9,781","10,315","5,030","1,976","231","9","44,124","44,124","2,038","3,445","3,440","4,040","5,476","7,855","8,709","5,113","3,197","789","22","95,083","95,083","4,197","7,400","8,110","9,883","12,262","17,657","19,096","10,229","5,190","1,028","31","50,806","50,806","2,160","3,960","4,678","5,794","6,782","9,775","10,354","5,078","1,983","233","9","44,277","44,277","2,037","3,440","3,432","4,089","5,480","7,882","8,742","5,151","3,207","795","22","95,341","95,341","4,198","7,434","8,155","9,948","12,234","17,702","19,139","10,286","5,193","1,021","31","50,929","50,929","2,162","3,974","4,702","5,814","6,759","9,807","10,364","5,120","1,989","230","8","44,412","44,412","2,036","3,460","3,453","4,134","5,475","7,895","8,775","5,166","3,204","791","23","95,446","95,446","4,177","7,434","8,131","9,994","12,219","17,722","19,156","10,363","5,178","1,043","29","50,974","50,974","2,143","3,972","4,681","5,836","6,760","9,799","10,389","5,162","1,992","234","6","44,472","44,472","2,034","3,462","3,450","4,158","5,459","7,923","8,767","5,201","3,186","809","23","95,614","95,614","4,178","7,432","8,139","10,067","12,255","17,694","19,186","10,421","5,162","1,052","28","51,083","51,083","2,135","3,969","4,679","5,885","6,796","9,784","10,426","5,188","1,978","238","5","44,531","44,531","2,043","3,463","3,460","4,182","5,459","7,910","8,760","5,233","3,184","814","23"
